DATE,WSWP3
2000-07-07,7.11
2000-07-14,7.12
2000-07-21,7.19
2000-07-28,7.11
2000-08-04,7.07
2000-08-11,6.97
2000-08-18,7.01
2000-08-25,6.96
2000-09-01,6.94
2000-09-08,6.85
2000-09-15,6.84
2000-09-22,6.78
2000-09-29,6.76
2000-10-06,6.74
2000-10-13,6.71
2000-10-20,6.62
2000-10-27,6.60
2000-11-03,6.65
2000-11-10,6.69
2000-11-17,6.61
2000-11-24,6.58
2000-12-01,6.48
2000-12-08,6.25
2000-12-15,6.14
2000-12-22,5.92
2000-12-29,5.89
2001-01-05,5.62
2001-01-12,5.49
2001-01-19,5.57
2001-01-26,5.60
2001-02-02,5.45
2001-02-09,5.48
2001-02-16,5.51
2001-02-23,5.45
2001-03-02,5.27
2001-03-09,5.28
2001-03-16,5.18
2001-03-23,5.05
2001-03-30,5.13
2001-04-06,5.06
2001-04-13,5.09
2001-04-20,5.21
2001-04-27,5.10
2001-05-04,5.14
2001-05-11,5.05
2001-05-18,5.26
2001-05-25,5.27
2001-06-01,5.24
2001-06-08,5.15
2001-06-15,5.07
2001-06-22,5.00
2001-06-29,5.09
2001-07-06,5.26
2001-07-13,5.14
2001-07-20,5.03
2001-07-27,4.92
2001-08-03,4.84
2001-08-10,4.81
2001-08-17,4.73
2001-08-24,4.73
2001-08-31,4.63
2001-09-07,4.65
2001-09-14,4.32
2001-09-21,4.08
2001-09-28,3.93
2001-10-05,3.82
2001-10-12,3.87
2001-10-19,3.84
2001-10-26,3.79
2001-11-02,3.55
2001-11-09,3.44
2001-11-16,3.78
2001-11-23,4.12
2001-11-30,4.19
2001-12-07,4.17
2001-12-14,4.27
2001-12-21,4.42
2001-12-28,4.48
2002-01-04,4.40
2002-01-11,4.20
2002-01-18,3.98
2002-01-25,4.19
2002-02-01,4.21
2002-02-08,4.08
2002-02-15,4.10
2002-02-22,4.04
2002-03-01,4.09
2002-03-08,4.36
2002-03-15,4.61
2002-03-22,4.72
2002-03-29,4.74
2002-04-05,4.62
2002-04-12,4.48
2002-04-19,4.44
2002-04-26,4.33
2002-05-03,4.23
2002-05-10,4.26
2002-05-17,4.34
2002-05-24,4.22
2002-05-31,4.19
2002-06-07,4.11
2002-06-14,4.05
2002-06-21,3.89
2002-06-28,3.85
2002-07-05,3.81
2002-07-12,3.68
2002-07-19,3.56
2002-07-26,3.34
2002-08-02,3.31
2002-08-09,3.06
2002-08-16,3.06
2002-08-23,3.11
2002-08-30,3.04
2002-09-06,2.83
2002-09-13,2.97
2002-09-20,2.83
2002-09-27,2.78
