DATE,WSECOUT
1994-01-26,336.591
1994-02-02,336.269
1994-02-09,337.305
1994-02-16,336.122
1994-02-23,336.659
1994-03-02,337.363
1994-03-09,338.082
1994-03-16,338.251
1994-03-23,340.919
1994-03-30,341.494
1994-04-06,342.233
1994-04-13,342.529
1994-04-20,347.713
1994-04-27,347.638
1994-05-04,348.264
1994-05-11,347.173
1994-05-18,347.441
1994-05-25,348.163
1994-06-01,347.701
1994-06-08,354.025
1994-06-15,352.823
1994-06-22,354.721
1994-06-29,352.159
1994-07-06,354.029
1994-07-13,353.325
1994-07-20,352.207
1994-07-27,353.287
1994-08-03,352.716
1994-08-10,352.976
1994-08-17,352.238
1994-08-24,352.423
1994-08-31,352.790
1994-09-07,357.753
1994-09-14,359.312
1994-09-21,358.793
1994-09-28,357.622
1994-10-05,357.575
1994-10-12,360.004
1994-10-19,357.515
1994-10-26,357.224
1994-11-02,357.379
1994-11-09,358.685
1994-11-16,361.909
1994-11-23,363.253
1994-11-30,362.898
1994-12-07,367.521
1994-12-14,368.354
1994-12-21,368.216
1994-12-28,367.867
1995-01-04,368.272
1995-01-11,370.283
1995-01-18,367.794
1995-01-25,364.719
1995-02-01,364.811
1995-02-08,363.842
1995-02-15,363.468
1995-02-22,366.620
1995-03-01,366.987
1995-03-08,367.389
1995-03-15,367.906
1995-03-22,367.520
1995-03-29,368.930
1995-04-05,367.725
1995-04-12,372.060
1995-04-19,370.711
1995-04-26,371.637
1995-05-03,372.405
1995-05-10,372.374
1995-05-17,372.772
1995-05-24,371.744
1995-05-31,372.105
1995-06-07,376.156
1995-06-14,376.742
1995-06-21,375.160
1995-06-28,375.942
1995-07-05,375.735
1995-07-12,375.909
1995-07-19,375.470
1995-07-26,371.520
1995-08-02,373.889
1995-08-09,374.004
1995-08-16,375.450
1995-08-23,375.269
1995-08-30,375.122
1995-09-06,373.756
1995-09-13,374.176
1995-09-20,374.767
1995-09-27,374.271
1995-10-04,372.478
1995-10-11,374.373
1995-10-18,374.254
1995-10-25,373.679
1995-11-01,373.207
1995-11-08,374.311
1995-11-15,378.472
1995-11-22,376.709
1995-11-29,376.496
1995-12-06,379.578
1995-12-13,382.017
1995-12-20,381.516
1995-12-27,381.231
1996-01-03,381.189
1996-01-10,381.059
1996-01-17,380.390
1996-01-24,377.046
1996-01-31,376.505
1996-02-07,374.928
1996-02-14,374.914
1996-02-21,377.812
1996-02-28,377.724
1996-03-06,380.202
1996-03-13,379.681
1996-03-20,380.231
1996-03-27,379.465
1996-04-03,380.003
1996-04-10,379.576
1996-04-17,381.761
1996-04-24,382.643
1996-05-01,381.951
1996-05-08,383.062
1996-05-15,381.716
1996-05-22,383.078
1996-05-29,382.878
1996-06-05,382.795
1996-06-12,383.176
1996-06-19,385.245
1996-06-26,384.883
1996-07-03,385.750
1996-07-10,385.820
1996-07-17,385.744
1996-07-24,385.114
1996-07-31,385.386
1996-08-07,384.784
1996-08-14,386.729
1996-08-21,390.262
1996-08-28,389.574
1996-09-04,389.459
1996-09-11,389.868
1996-09-18,389.228
1996-09-25,389.889
1996-10-02,388.564
1996-10-09,389.602
1996-10-16,389.425
1996-10-23,389.308
1996-10-30,388.888
1996-11-06,388.733
1996-11-13,395.827
1996-11-20,396.042
1996-11-27,396.364
1996-12-04,394.397
1996-12-11,395.378
1996-12-18,395.011
1996-12-25,394.879
1997-01-01,394.607
1997-01-08,394.136
1997-01-15,393.721
1997-01-22,393.708
1997-01-29,393.993
1997-02-05,393.907
1997-02-12,393.705
1997-02-19,393.920
1997-02-26,394.996
1997-03-05,394.126
1997-03-12,397.338
1997-03-19,399.094
1997-03-26,399.713
1997-04-02,398.815
1997-04-09,402.786
1997-04-16,403.166
1997-04-23,402.704
1997-04-30,403.434
1997-05-07,405.450
1997-05-14,406.822
1997-05-21,407.877
1997-05-28,408.027
1997-06-04,407.614
1997-06-11,407.321
1997-06-18,408.692
1997-06-25,411.247
1997-07-02,411.268
1997-07-09,412.420
1997-07-16,412.341
1997-07-23,412.027
1997-07-30,411.032
1997-08-06,409.642
1997-08-13,411.221
1997-08-20,410.007
1997-08-27,410.021
1997-09-03,410.595
1997-09-10,410.823
1997-09-17,411.844
1997-09-24,412.263
1997-10-01,412.562
1997-10-08,414.085
1997-10-15,414.103
1997-10-22,415.839
1997-10-29,415.557
1997-11-05,412.404
1997-11-12,414.277
1997-11-19,418.133
1997-11-26,420.596
1997-12-03,420.627
1997-12-10,425.078
1997-12-17,431.103
1997-12-24,429.882
1997-12-31,431.551
1998-01-07,431.658
1998-01-14,431.665
1998-01-21,430.402
1998-01-28,429.147
1998-02-04,428.488
1998-02-11,427.774
