DATE,BAA10Y
2017-04-27,2.28
2017-04-28,2.28
2017-05-01,2.29
2017-05-02,2.30
2017-05-03,2.23
2017-05-04,2.25
2017-05-05,2.24
2017-05-08,2.23
2017-05-09,2.22
2017-05-10,2.22
2017-05-11,2.24
2017-05-12,2.25
2017-05-15,2.25
2017-05-16,2.24
2017-05-17,2.26
2017-05-18,2.26
2017-05-19,2.26
2017-05-22,2.24
2017-05-23,2.22
2017-05-24,2.25
2017-05-25,2.24
2017-05-26,2.24
2017-05-29,.
2017-05-30,2.25
2017-05-31,2.23
2017-06-01,2.24
2017-06-02,2.24
2017-06-05,2.24
2017-06-06,2.25
2017-06-07,2.23
2017-06-08,2.23
2017-06-09,2.21
2017-06-12,2.22
2017-06-13,2.21
2017-06-14,2.19
2017-06-15,2.18
2017-06-16,2.19
2017-06-19,2.17
2017-06-20,2.16
2017-06-21,2.15
2017-06-22,2.16
2017-06-23,2.15
2017-06-26,2.15
2017-06-27,2.12
2017-06-28,2.14
2017-06-29,2.11
2017-06-30,2.09
2017-07-03,2.07
2017-07-04,.
2017-07-05,2.08
2017-07-06,2.07
2017-07-07,2.08
2017-07-10,2.08
2017-07-11,2.08
2017-07-12,2.09
2017-07-13,2.09
2017-07-14,2.09
2017-07-17,2.09
2017-07-18,2.08
2017-07-19,2.07
2017-07-20,2.05
2017-07-21,2.05
2017-07-24,2.06
2017-07-25,2.05
2017-07-26,2.07
2017-07-27,2.07
2017-07-28,2.05
2017-07-31,2.06
2017-08-01,2.06
2017-08-02,2.05
2017-08-03,2.05
2017-08-04,2.05
2017-08-07,2.06
2017-08-08,2.07
2017-08-09,2.09
2017-08-10,2.11
2017-08-11,2.12
2017-08-14,2.11
2017-08-15,2.09
2017-08-16,2.09
2017-08-17,2.11
2017-08-18,2.12
2017-08-21,2.12
2017-08-22,2.1
2017-08-23,2.12
2017-08-24,2.12
2017-08-25,2.12
2017-08-28,2.13
2017-08-29,2.15
2017-08-30,2.14
2017-08-31,2.14
2017-09-01,2.15
2017-09-04,.
2017-09-05,2.16
2017-09-06,2.17
2017-09-07,2.17
2017-09-08,2.17
2017-09-11,2.15
2017-09-12,2.16
2017-09-13,2.13
2017-09-14,2.11
2017-09-15,2.1
2017-09-18,2.1
2017-09-19,2.09
2017-09-20,2.06
2017-09-21,2.05
2017-09-22,2.05
2017-09-25,2.06
2017-09-26,2.04
2017-09-27,2.06
2017-09-28,2.05
2017-09-29,2.0
2017-10-02,1.99
2017-10-03,2.0
2017-10-04,2.01
2017-10-05,2.0
2017-10-06,1.98
2017-10-09,.
2017-10-10,1.97
2017-10-11,1.97
2017-10-12,1.97
2017-10-13,1.97
2017-10-16,1.97
2017-10-17,1.95
2017-10-18,1.95
2017-10-19,1.94
2017-10-20,1.94
2017-10-23,1.94
2017-10-24,1.92
2017-10-25,1.93
2017-10-26,1.91
2017-10-27,1.93
2017-10-30,1.92
2017-10-31,1.91
2017-11-01,1.92
2017-11-02,1.91
