DATE,WSWP4
2000-07-07,7.11
2000-07-14,7.14
2000-07-21,7.22
2000-07-28,7.12
2000-08-04,7.09
2000-08-11,6.98
2000-08-18,7.03
2000-08-25,6.96
2000-09-01,6.95
2000-09-08,6.87
2000-09-15,6.86
2000-09-22,6.82
2000-09-29,6.79
2000-10-06,6.77
2000-10-13,6.74
2000-10-20,6.65
2000-10-27,6.63
2000-11-03,6.69
2000-11-10,6.74
2000-11-17,6.66
2000-11-24,6.63
2000-12-01,6.53
2000-12-08,6.29
2000-12-15,6.16
2000-12-22,5.95
2000-12-29,5.94
2001-01-05,5.69
2001-01-12,5.57
2001-01-19,5.67
2001-01-26,5.73
2001-02-02,5.57
2001-02-09,5.60
2001-02-16,5.63
2001-02-23,5.60
2001-03-02,5.42
2001-03-09,5.43
2001-03-16,5.34
2001-03-23,5.21
2001-03-30,5.32
2001-04-06,5.25
2001-04-13,5.29
2001-04-20,5.43
2001-04-27,5.33
2001-05-04,5.37
2001-05-11,5.30
2001-05-18,5.53
2001-05-25,5.53
2001-06-01,5.52
2001-06-08,5.43
2001-06-15,5.36
2001-06-22,5.31
2001-06-29,5.39
2001-07-06,5.56
2001-07-13,5.45
2001-07-20,5.33
2001-07-27,5.24
2001-08-03,5.16
2001-08-10,5.15
2001-08-17,5.05
2001-08-24,5.04
2001-08-31,4.93
2001-09-07,4.96
2001-09-14,4.66
2001-09-21,4.45
2001-09-28,4.30
2001-10-05,4.21
2001-10-12,4.29
2001-10-19,4.24
2001-10-26,4.21
2001-11-02,3.99
2001-11-09,3.88
2001-11-16,4.20
2001-11-23,4.56
2001-11-30,4.63
2001-12-07,4.61
2001-12-14,4.75
2001-12-21,4.91
2001-12-28,4.96
2002-01-04,4.87
2002-01-11,4.68
2002-01-18,4.46
2002-01-25,4.66
2002-02-01,4.69
2002-02-08,4.56
2002-02-15,4.57
2002-02-22,4.49
2002-03-01,4.53
2002-03-08,4.78
2002-03-15,5.02
2002-03-22,5.11
2002-03-29,5.12
2002-04-05,5.02
2002-04-12,4.88
2002-04-19,4.84
2002-04-26,4.73
2002-05-03,4.63
2002-05-10,4.67
2002-05-17,4.74
2002-05-24,4.60
2002-05-31,4.56
2002-06-07,4.49
2002-06-14,4.43
2002-06-21,4.28
2002-06-28,4.25
2002-07-05,4.22
2002-07-12,4.10
2002-07-19,3.99
2002-07-26,3.77
2002-08-02,3.77
2002-08-09,3.53
2002-08-16,3.49
2002-08-23,3.54
2002-08-30,3.45
2002-09-06,3.22
2002-09-13,3.34
2002-09-20,3.18
2002-09-27,3.12
2002-10-04,3.02
2002-10-11,3.01
2002-10-18,3.37
2002-10-25,3.47
2002-11-01,3.11
2002-11-08,3.12
2002-11-15,3.08
2002-11-22,3.24
2002-11-29,3.38
2002-12-06,3.36
2002-12-13,3.16
2002-12-20,3.13
2002-12-27,3.00
2003-01-03,2.95
2003-01-10,3.13
2003-01-17,3.11
2003-01-24,2.98
2003-01-31,3.03
2003-02-07,3.03
2003-02-14,2.95
2003-02-21,2.89
2003-02-28,2.80
2003-03-07,2.64
2003-03-14,2.64
2003-03-21,2.98
2003-03-28,2.96
2003-04-04,2.83
2003-04-11,2.92
2003-04-18,2.96
2003-04-25,2.92
2003-05-02,2.81
2003-05-09,2.66
2003-05-16,2.47
2003-05-23,2.32
2003-05-30,2.31
2003-06-06,2.23
2003-06-13,2.08
2003-06-20,2.18
2003-06-27,2.26
2003-07-04,2.40
2003-07-11,2.49
2003-07-18,2.66
2003-07-25,2.90
2003-08-01,3.19
2003-08-08,3.25
2003-08-15,3.35
2003-08-22,3.40
2003-08-29,3.52
2003-09-05,3.53
2003-09-12,3.22
2003-09-19,3.09
2003-09-26,3.07
2003-10-03,2.93
2003-10-10,3.12
2003-10-17,3.28
2003-10-24,3.28
2003-10-31,3.25
2003-11-07,3.39
2003-11-14,3.38
2003-11-21,3.18
2003-11-28,3.29
2003-12-05,3.45
2003-12-12,3.28
2003-12-19,3.21
2003-12-26,3.24
2004-01-02,3.29
2004-01-09,3.25
2004-01-16,2.99
2004-01-23,3.00
2004-01-30,3.14
2004-02-06,3.17
2004-02-13,3.11
2004-02-20,3.04
2004-02-27,3.03
2004-03-05,3.02
2004-03-12,2.73
2004-03-19,2.73
2004-03-26,2.73
2004-04-02,2.93
2004-04-09,3.22
2004-04-16,3.40
2004-04-23,3.53
2004-04-30,3.67
2004-05-07,3.83
2004-05-14,4.11
2004-05-21,4.01
2004-05-28,3.98
2004-06-04,4.05
2004-06-11,4.13
2004-06-18,4.15
2004-06-25,4.07
2004-07-02,4.02
2004-07-09,3.82
2004-07-16,3.83
2004-07-23,3.86
2004-07-30,3.99
2004-08-06,3.81
2004-08-13,3.64
2004-08-20,3.59
2004-08-27,3.61
2004-09-03,3.57
2004-09-10,3.61
2004-09-17,3.54
2004-09-24,3.48
2004-10-01,3.55
2004-10-08,3.66
2004-10-15,3.51
2004-10-22,3.47
2004-10-29,3.47
2004-11-05,3.57
2004-11-12,3.74
2004-11-19,3.75
2004-11-26,3.80
2004-12-03,3.89
2004-12-10,3.74
2004-12-17,3.75
2004-12-24,3.82
2004-12-31,3.88
2005-01-07,3.92
2005-01-14,3.96
2005-01-21,3.95
2005-01-28,3.94
2005-02-04,3.98
2005-02-11,3.93
2005-02-18,4.03
2005-02-25,4.15
2005-03-04,4.27
2005-03-11,4.37
2005-03-18,4.46
2005-03-25,4.56
2005-04-01,4.60
2005-04-08,4.48
2005-04-15,4.42
2005-04-22,4.25
2005-04-29,4.27
2005-05-06,4.26
2005-05-13,4.28
2005-05-20,4.18
2005-05-27,4.17
2005-06-03,4.01
2005-06-10,4.09
2005-06-17,4.23
2005-06-24,4.14
2005-07-01,4.10
2005-07-08,4.23
2005-07-15,4.33
2005-07-22,4.41
2005-07-29,4.47
2005-08-05,4.56
2005-08-12,4.63
2005-08-19,4.51
2005-08-26,4.48
2005-09-02,4.32
2005-09-09,4.31
2005-09-16,4.35
2005-09-23,4.42
2005-09-30,4.57
2005-10-07,4.67
2005-10-14,4.74
2005-10-21,4.75
2005-10-28,4.81
2005-11-04,4.96
2005-11-11,4.97
2005-11-18,4.92
2005-11-25,4.82
2005-12-02,4.88
2005-12-09,4.93
2005-12-16,4.90
2005-12-23,4.89
2005-12-30,4.83
2006-01-06,4.79
2006-01-13,4.81
2006-01-20,4.75
2006-01-27,4.84
2006-02-03,4.98
2006-02-10,5.02
2006-02-17,5.08
2006-02-24,5.09
2006-03-03,5.11
2006-03-10,5.22
2006-03-17,5.15
2006-03-24,5.14
2006-03-31,5.23
2006-04-07,5.29
2006-04-14,5.36
2006-04-21,5.37
2006-04-28,5.40
2006-05-05,5.45
2006-05-12,5.47
2006-05-19,5.45
2006-05-26,5.41
2006-06-02,5.45
2006-06-09,5.44
2006-06-16,5.51
2006-06-23,5.67
2006-06-30,5.71
2006-07-07,5.69
2006-07-14,5.61
2006-07-21,5.57
2006-07-28,5.49
2006-08-04,5.39
2006-08-11,5.36
2006-08-18,5.32
2006-08-25,5.24
2006-09-01,5.21
2006-09-08,5.19
2006-09-15,5.19
2006-09-22,5.16
2006-09-29,5.01
2006-10-06,5.02
2006-10-13,5.19
2006-10-20,5.20
2006-10-27,5.21
2006-11-03,5.05
2006-11-10,5.08
2006-11-17,5.03
2006-11-24,4.99
2006-12-01,4.88
2006-12-08,4.82
2006-12-15,4.91
2006-12-22,4.98
2006-12-29,5.05
2007-01-05,5.04
2007-01-12,5.09
2007-01-19,5.17
2007-01-26,5.21
2007-02-02,5.27
2007-02-09,5.18
2007-02-16,5.16
2007-02-23,5.11
2007-03-02,4.99
2007-03-09,4.92
2007-03-16,4.92
2007-03-23,4.92
2007-03-30,4.92
2007-04-06,5.00
2007-04-13,5.08
2007-04-20,5.02
2007-04-27,4.97
2007-05-04,5.01
2007-05-11,5.01
2007-05-18,5.10
2007-05-25,5.23
2007-06-01,5.32
2007-06-08,5.46
2007-06-15,5.59
2007-06-22,5.53
2007-06-29,5.47
2007-07-06,5.48
2007-07-13,5.51
2007-07-20,5.46
2007-07-27,5.33
2007-08-03,5.19
2007-08-10,5.15
2007-08-17,5.10
2007-08-24,5.00
2007-08-31,4.92
2007-09-07,4.82
2007-09-14,4.72
2007-09-21,4.81
2007-09-28,4.81
2007-10-05,4.82
2007-10-12,4.93
2007-10-19,4.82
2007-10-26,4.59
2007-11-02,4.61
2007-11-09,4.55
2007-11-16,4.45
2007-11-23,4.30
2007-11-30,4.14
2007-12-07,4.06
2007-12-14,4.26
2007-12-21,4.19
2007-12-28,4.23
2008-01-04,3.91
2008-01-11,3.71
2008-01-18,3.44
2008-01-25,3.16
2008-02-01,3.32
2008-02-08,3.24
2008-02-15,3.30
2008-02-22,3.48
2008-02-29,3.42
2008-03-07,3.22
2008-03-14,3.17
2008-03-21,2.93
2008-03-28,3.17
2008-04-04,3.25
2008-04-11,3.22
2008-04-18,3.44
2008-04-25,3.65
2008-05-02,3.68
2008-05-09,3.67
2008-05-16,3.72
2008-05-23,3.73
2008-05-30,4.01
2008-06-06,3.96
2008-06-13,4.29
2008-06-20,4.40
2008-06-27,4.28
2008-07-04,4.11
2008-07-11,3.98
2008-07-18,3.98
2008-07-25,4.24
2008-08-01,4.08
2008-08-08,4.05
2008-08-15,3.99
2008-08-22,3.93
2008-08-29,3.90
2008-09-05,3.74
2008-09-12,3.66
2008-09-19,3.51
2008-09-26,3.99
2008-10-03,3.79
2008-10-10,3.55
2008-10-17,3.79
2008-10-24,3.41
2008-10-31,3.50
2008-11-07,3.37
2008-11-14,3.15
2008-11-21,2.86
2008-11-28,2.72
2008-12-05,2.43
2008-12-12,2.43
2008-12-19,2.03
2008-12-26,2.01
2009-01-02,1.95
2009-01-09,2.01
2009-01-16,1.82
2009-01-23,1.98
2009-01-30,2.13
2009-02-06,2.29
2009-02-13,2.28
2009-02-20,2.23
2009-02-27,2.33
2009-03-06,2.33
2009-03-13,2.37
2009-03-20,2.20
2009-03-27,2.11
2009-04-03,2.02
2009-04-10,2.19
2009-04-17,2.11
2009-04-24,2.24
2009-05-01,2.27
2009-05-08,2.31
2009-05-15,2.18
2009-05-22,2.18
2009-05-29,2.44
2009-06-05,2.64
2009-06-12,3.00
2009-06-19,2.80
2009-06-26,2.72
