DATE,SBCACBW027SBOG
1977-06-15,234.0720
1977-06-22,231.8100
1977-06-29,230.9390
1977-07-06,229.7890
1977-07-13,230.7890
1977-07-20,231.0920
1977-07-27,229.7160
1977-08-03,229.8650
1977-08-10,229.3460
1977-08-17,230.8620
1977-08-24,230.4020
1977-08-31,230.2090
1977-09-07,231.8910
1977-09-14,231.3280
1977-09-21,231.1270
1977-09-28,230.0360
1977-10-05,229.1360
1977-10-12,228.8110
1977-10-19,230.6350
1977-10-26,230.5120
1977-11-02,230.0290
1977-11-09,230.7800
1977-11-16,231.8390
1977-11-23,232.1670
1977-11-30,232.2580
1977-12-07,234.1570
1977-12-14,234.2850
1977-12-21,235.0150
1977-12-28,234.5090
1978-01-04,233.0200
1978-01-11,233.0130
1978-01-18,232.5490
1978-01-25,232.2110
1978-02-01,232.7950
1978-02-08,232.7710
1978-02-15,234.0810
1978-02-22,234.1070
1978-03-01,234.6950
1978-03-08,237.0630
1978-03-15,237.1600
1978-03-22,235.5930
1978-03-29,234.7240
1978-04-05,237.3340
1978-04-12,239.0140
1978-04-19,240.0910
1978-04-26,238.7050
1978-05-03,238.3260
1978-05-10,238.5540
1978-05-17,235.7920
1978-05-24,235.5460
1978-05-31,236.6000
1978-06-07,238.1740
1978-06-14,238.9940
1978-06-21,238.0170
1978-06-28,236.5860
1978-07-05,235.7540
1978-07-12,236.0120
1978-07-19,236.1850
1978-07-26,236.3950
1978-08-02,236.0550
1978-08-09,235.8580
1978-08-16,236.1480
1978-08-23,236.1350
1978-08-30,236.3940
1978-09-06,238.3740
1978-09-13,238.4440
1978-09-20,239.4840
1978-09-27,238.5310
1978-10-04,238.1180
1978-10-11,238.5870
1978-10-18,238.1780
1978-10-25,238.2840
1978-11-01,238.0000
1978-11-08,238.2400
1978-11-15,239.6460
1978-11-22,238.9190
1978-11-29,238.8400
1978-12-06,238.6660
1978-12-13,240.0200
1978-12-20,240.3130
1978-12-27,241.0300
1979-01-03,241.3169
1979-01-10,241.7770
1979-01-17,242.0252
1979-01-24,243.2097
1979-01-31,242.1806
1979-02-07,242.2312
1979-02-14,242.8184
1979-02-21,243.8496
1979-02-28,243.3722
1979-03-07,244.0079
1979-03-14,244.8355
1979-03-21,246.2849
1979-03-28,246.4133
1979-04-04,247.6942
1979-04-11,247.9215
1979-04-18,249.6362
1979-04-25,248.7637
1979-05-02,247.3973
1979-05-09,248.2957
1979-05-16,248.4488
1979-05-23,248.7065
1979-05-30,248.3031
1979-06-06,248.1886
1979-06-13,249.5987
1979-06-20,249.2254
1979-06-27,249.3750
1979-07-04,249.0031
1979-07-11,250.8617
1979-07-18,250.6100
1979-07-25,251.2088
1979-08-01,250.4836
1979-08-08,249.8405
1979-08-15,250.7899
1979-08-22,251.1300
1979-08-29,251.9462
1979-09-05,253.8511
1979-09-12,254.8542
1979-09-19,255.4852
1979-09-26,255.9034
1979-10-03,253.8083
1979-10-10,255.3800
1979-10-17,255.8832
1979-10-24,256.0539
1979-10-31,255.9000
1979-11-07,255.5436
1979-11-14,257.5836
1979-11-21,256.9604
1979-11-28,257.6847
1979-12-05,257.7574
1979-12-12,258.9341
1979-12-19,258.1566
1979-12-26,257.9512
1980-01-02,255.5822
1980-01-09,256.3346
1980-01-16,256.9045
1980-01-23,257.7993
1980-01-30,257.3504
1980-02-06,258.9811
1980-02-13,259.8012
1980-02-20,260.0920
