DATE,WSWP30
2000-07-07,7.19
2000-07-14,7.18
2000-07-21,7.25
2000-07-28,7.18
2000-08-04,7.16
2000-08-11,7.05
2000-08-18,7.04
2000-08-25,7.01
2000-09-01,7.02
2000-09-08,6.99
2000-09-15,7.05
2000-09-22,7.11
2000-09-29,7.01
2000-10-06,7.02
2000-10-13,7.03
2000-10-20,6.93
2000-10-27,6.83
2000-11-03,6.89
2000-11-10,6.99
2000-11-17,6.93
2000-11-24,6.89
2000-12-01,6.81
2000-12-08,6.61
2000-12-15,6.39
2000-12-22,6.27
2000-12-29,6.26
2001-01-05,6.17
2001-01-12,6.15
2001-01-19,6.28
2001-01-26,6.39
2001-02-02,6.28
2001-02-09,6.28
2001-02-16,6.31
2001-02-23,6.34
2001-03-02,6.18
2001-03-09,6.14
2001-03-16,6.12
2001-03-23,6.07
2001-03-30,6.25
2001-04-06,6.30
2001-04-13,6.37
2001-04-20,6.47
2001-04-27,6.49
2001-05-04,6.44
2001-05-11,6.42
2001-05-18,6.55
2001-05-25,6.52
2001-06-01,6.54
2001-06-08,6.42
2001-06-15,6.40
2001-06-22,6.42
2001-06-29,6.40
2001-07-06,6.54
2001-07-13,6.47
2001-07-20,6.33
2001-07-27,6.28
2001-08-03,6.27
2001-08-10,6.27
2001-08-17,6.18
2001-08-24,6.15
2001-08-31,6.06
2001-09-07,6.08
2001-09-14,6.04
2001-09-21,6.07
2001-09-28,5.99
2001-10-05,5.82
2001-10-12,5.91
2001-10-19,5.87
2001-10-26,5.85
2001-11-02,5.60
2001-11-09,5.47
2001-11-16,5.65
2001-11-23,5.95
2001-11-30,6.03
2001-12-07,6.07
2001-12-14,6.21
2001-12-21,6.27
2001-12-28,6.27
2002-01-04,6.24
2002-01-11,6.13
2002-01-18,6.00
2002-01-25,6.09
2002-02-01,6.13
2002-02-08,6.10
2002-02-15,6.11
2002-02-22,6.04
2002-03-01,6.04
2002-03-08,6.19
2002-03-15,6.36
2002-03-22,6.37
2002-03-29,6.36
2002-04-05,6.33
2002-04-12,6.25
2002-04-19,6.24
2002-04-26,6.14
2002-05-03,6.10
2002-05-10,6.16
2002-05-17,6.26
2002-05-24,6.17
2002-05-31,6.13
2002-06-07,6.11
2002-06-14,6.06
2002-06-21,5.94
2002-06-28,5.94
2002-07-05,5.98
2002-07-12,5.90
2002-07-19,5.86
2002-07-26,5.78
2002-08-02,5.84
2002-08-09,5.68
2002-08-16,5.46
2002-08-23,5.49
2002-08-30,5.41
2002-09-06,5.24
2002-09-13,5.28
2002-09-20,5.15
2002-09-27,5.15
2002-10-04,5.15
2002-10-11,5.15
2002-10-18,5.47
2002-10-25,5.57
2002-11-01,5.44
2002-11-08,5.39
2002-11-15,5.28
2002-11-22,5.34
2002-11-29,5.44
2002-12-06,5.42
2002-12-13,5.30
2002-12-20,5.33
2002-12-27,5.24
2003-01-03,5.23
2003-01-10,5.36
2003-01-17,5.36
2003-01-24,5.24
2003-01-31,5.25
2003-02-07,5.20
2003-02-14,5.21
2003-02-21,5.17
2003-02-28,5.09
2003-03-07,4.99
2003-03-14,4.98
2003-03-21,5.19
2003-03-28,5.22
2003-04-04,5.18
2003-04-11,5.24
2003-04-18,5.20
2003-04-25,5.13
2003-05-02,5.06
2003-05-09,5.00
2003-05-16,4.80
2003-05-23,4.63
2003-05-30,4.69
2003-06-06,4.67
2003-06-13,4.53
2003-06-20,4.61
2003-06-27,4.73
2003-07-04,4.87
2003-07-11,5.00
2003-07-18,5.17
2003-07-25,5.36
2003-08-01,5.64
2003-08-08,5.66
2003-08-15,5.76
2003-08-22,5.69
2003-08-29,5.69
2003-09-05,5.70
2003-09-12,5.54
2003-09-19,5.48
2003-09-26,5.39
2003-10-03,5.29
2003-10-10,5.48
2003-10-17,5.59
2003-10-24,5.50
2003-10-31,5.45
2003-11-07,5.50
2003-11-14,5.48
2003-11-21,5.33
2003-11-28,5.37
2003-12-05,5.46
2003-12-12,5.42
2003-12-19,5.34
2003-12-26,5.31
2004-01-02,5.40
2004-01-09,5.40
2004-01-16,5.22
2004-01-23,5.19
2004-01-30,5.29
2004-02-06,5.28
2004-02-13,5.26
2004-02-20,5.24
2004-02-27,5.22
2004-03-05,5.19
2004-03-12,4.99
2004-03-19,4.97
2004-03-26,4.98
2004-04-02,5.16
2004-04-09,5.34
2004-04-16,5.48
2004-04-23,5.54
2004-04-30,5.57
2004-05-07,5.69
2004-05-14,5.89
2004-05-21,5.82
2004-05-28,5.78
2004-06-04,5.81
2004-06-11,5.86
2004-06-18,5.81
2004-06-25,5.76
2004-07-02,5.70
2004-07-09,5.57
2004-07-16,5.57
2004-07-23,5.53
2004-07-30,5.64
2004-08-06,5.50
2004-08-13,5.40
2004-08-20,5.39
2004-08-27,5.40
2004-09-03,5.34
2004-09-10,5.35
2004-09-17,5.28
2004-09-24,5.17
2004-10-01,5.19
2004-10-08,5.31
2004-10-15,5.22
2004-10-22,5.14
2004-10-29,5.12
2004-11-05,5.21
2004-11-12,5.30
2004-11-19,5.25
2004-11-26,5.20
2004-12-03,5.37
2004-12-10,5.22
2004-12-17,5.18
2004-12-24,5.22
2004-12-31,5.30
2005-01-07,5.23
2005-01-14,5.16
2005-01-21,5.07
2005-01-28,5.03
2005-02-04,4.96
2005-02-11,4.82
2005-02-18,4.95
2005-02-25,5.08
2005-03-04,5.15
2005-03-11,5.20
2005-03-18,5.27
2005-03-25,5.33
2005-04-01,5.33
2005-04-08,5.27
2005-04-15,5.20
2005-04-22,5.06
2005-04-29,5.02
2005-05-06,5.03
2005-05-13,5.00
2005-05-20,4.91
2005-05-27,4.83
2005-06-03,4.68
2005-06-10,4.68
2005-06-17,4.84
2005-06-24,4.73
2005-07-01,4.67
2005-07-08,4.78
2005-07-15,4.86
2005-07-22,4.93
2005-07-29,4.94
2005-08-05,5.01
2005-08-12,5.03
2005-08-19,4.90
2005-08-26,4.86
2005-09-02,4.75
2005-09-09,4.83
2005-09-16,4.89
2005-09-23,4.94
2005-09-30,5.01
2005-10-07,5.06
2005-10-14,5.13
2005-10-21,5.16
2005-10-28,5.22
2005-11-04,5.34
2005-11-11,5.35
2005-11-18,5.25
2005-11-25,5.19
2005-12-02,5.22
2005-12-09,5.27
2005-12-16,5.22
2005-12-23,5.16
2005-12-30,5.06
2006-01-06,5.07
2006-01-13,5.07
2006-01-20,5.00
2006-01-27,5.11
2006-02-03,5.17
2006-02-10,5.13
2006-02-17,5.15
2006-02-24,5.10
2006-03-03,5.16
2006-03-10,5.32
2006-03-17,5.32
2006-03-24,5.30
2006-03-31,5.41
2006-04-07,5.53
2006-04-14,5.63
2006-04-21,5.70
2006-04-28,5.72
2006-05-05,5.79
2006-05-12,5.78
2006-05-19,5.78
2006-05-26,5.71
2006-06-02,5.75
2006-06-09,5.67
2006-06-16,5.67
2006-06-23,5.82
2006-06-30,5.87
2006-07-07,5.86
2006-07-14,5.78
2006-07-21,5.74
2006-07-28,5.69
2006-08-04,5.64
2006-08-11,5.60
2006-08-18,5.56
2006-08-25,5.47
2006-09-01,5.44
2006-09-08,5.44
2006-09-15,5.42
2006-09-22,5.37
2006-09-29,5.25
2006-10-06,5.30
2006-10-13,5.45
2006-10-20,5.45
2006-10-27,5.45
2006-11-03,5.29
2006-11-10,5.30
2006-11-17,5.24
2006-11-24,5.19
2006-12-01,5.10
2006-12-08,5.08
2006-12-15,5.16
2006-12-22,5.24
2006-12-29,5.29
2007-01-05,5.27
2007-01-12,5.30
2007-01-19,5.39
2007-01-26,5.43
2007-02-02,5.49
2007-02-09,5.40
2007-02-16,5.39
2007-02-23,5.35
2007-03-02,5.26
2007-03-09,5.23
2007-03-16,5.24
2007-03-23,5.29
2007-03-30,5.36
2007-04-06,5.41
2007-04-13,5.47
2007-04-20,5.40
2007-04-27,5.39
2007-05-04,5.40
2007-05-11,5.38
