DATE,H8B3092NCBA
2010-01-06,351116.0
2010-01-13,357395.0
2010-01-20,362218.0
2010-01-27,366212.0
2010-02-03,356549.3
2010-02-10,349610.7
2010-02-17,368720.2
2010-02-24,376209.4
2010-03-03,382007.6
2010-03-10,377111.9
2010-03-17,378155.8
2010-03-24,353084.3
2010-03-31,334017.2
2010-04-07,347019.0
2010-04-14,348552.8
2010-04-21,341970.9
2010-04-28,352318.2
2010-05-05,352598.1
2010-05-12,351111.7
2010-05-19,352757.5
2010-05-26,362273.5
2010-06-02,355366.4
2010-06-09,344960.2
2010-06-16,353872.2
2010-06-23,345641.6
2010-06-30,345282.7
2010-07-07,342032.3
2010-07-14,361236.5
2010-07-21,353459.8
2010-07-28,357571.9
2010-08-04,368870.8
2010-08-11,352190.2
2010-08-18,358382.6
2010-08-25,365886.6
2010-09-01,362365.6
2010-09-08,360266.3
2010-09-15,387671.1
2010-09-22,360064.4
2010-09-29,335569.7
2010-10-06,356302.2
2010-10-13,365841.0
2010-10-20,379316.6
2010-10-27,377580.8
2010-11-03,364707.1
2010-11-10,379996.7
2010-11-17,372743.4
2010-11-24,354216.5
2010-12-01,342908.6
2010-12-08,342995.7
2010-12-15,351683.2
2010-12-22,350693.9
2010-12-29,344235.9
2011-01-05,348440.9
2011-01-12,343361.2
2011-01-19,345183.3
2011-01-26,352325.2
2011-02-02,345689.6
2011-02-09,350480.9
2011-02-16,340582.3
2011-02-23,342788.7
2011-03-02,329945.7
2011-03-09,335398.9
2011-03-16,331000.1
2011-03-23,341510.1
2011-03-30,333694.1
2011-04-06,337703.7
2011-04-13,336983.0
2011-04-20,337986.6
2011-04-27,326960.9
2011-05-04,332940.1
2011-05-11,334019.8
2011-05-18,336168.8
2011-05-25,338824.4
2011-06-01,334325.4
2011-06-08,331424.7
2011-06-15,325276.0
2011-06-22,343595.7
2011-06-29,336503.6
2011-07-06,346050.2
2011-07-13,347238.9
2011-07-20,349056.8
2011-07-27,358541.0
2011-08-03,364514.8
2011-08-10,390697.0
2011-08-17,382046.9
2011-08-24,370148.8
2011-08-31,353275.9
2011-09-07,361926.5
2011-09-14,350687.6
2011-09-21,363544.3
2011-09-28,371496.2
2011-10-05,374661.5
2011-10-12,369569.4
2011-10-19,366976.2
2011-10-26,372411.9
2011-11-02,387974.6
2011-11-09,394543.9
2011-11-16,402005.2
2011-11-23,409672.6
2011-11-30,404138.5
2011-12-07,400197.3
2011-12-14,393816.9
2011-12-21,386771.0
2011-12-28,382881.2
2012-01-04,373117.2
2012-01-11,373506.4
2012-01-18,386312.0
2012-01-25,391954.0
2012-02-01,388779.7
2012-02-08,396345.9
2012-02-15,397022.4
2012-02-22,391576.4
2012-02-29,394285.4
2012-03-07,391074.7
2012-03-14,384220.3
2012-03-21,389684.0
2012-03-28,404724.3
2012-04-04,394870.0
2012-04-11,387453.9
2012-04-18,385380.5
2012-04-25,388729.4
2012-05-02,394031.0
2012-05-09,399660.3
2012-05-16,407650.5
2012-05-23,396729.1
2012-05-30,392667.8
2012-06-06,403153.4
2012-06-13,414654.3
2012-06-20,398990.5
2012-06-27,399613.4
2012-07-04,409086.6
2012-07-11,404115.8
2012-07-18,402049.6
2012-07-25,409311.3
2012-08-01,403718.7
2012-08-08,411108.0
2012-08-15,404417.8
2012-08-22,408629.0
2012-08-29,406762.5
2012-09-05,424963.7
2012-09-12,409472.9
2012-09-19,409279.0
2012-09-26,424358.2
2012-10-03,423955.4
2012-10-10,415583.8
2012-10-17,426724.4
2012-10-24,402037.0
2012-10-31,460436.1
2012-11-07,411804.2
2012-11-14,422914.0
2012-11-21,428063.4
2012-11-28,429794.6
2012-12-05,448450.6
2012-12-12,440831.0
2012-12-19,427040.3
2012-12-26,437747.3
2013-01-02,447039.3
2013-01-09,444669.9
2013-01-16,453016.1
2013-01-23,429897.7
2013-01-30,439221.7
2013-02-06,441534.9
2013-02-13,440161.1
2013-02-20,432891.3
2013-02-27,433785.0
2013-03-06,434890.9
2013-03-13,438006.4
2013-03-20,434479.2
2013-03-27,442260.7
2013-04-03,448912.1
2013-04-10,431432.8
2013-04-17,443209.4
2013-04-24,427865.9
2013-05-01,429933.7
2013-05-08,426889.4
2013-05-15,428144.5
2013-05-22,419183.4
2013-05-29,408447.3
2013-06-05,419392.4
2013-06-12,418539.2
2013-06-19,400284.4
2013-06-26,402942.7
2013-07-03,399954.8
2013-07-10,400393.4
2013-07-17,405891.3
2013-07-24,395249.3
2013-07-31,390404.0
2013-08-07,391590.7
2013-08-14,393469.8
