DATE,DGS30
2017-04-27,2.96
2017-04-28,2.96
2017-05-01,3.00
2017-05-02,2.97
2017-05-03,2.97
2017-05-04,3.00
2017-05-05,2.99
2017-05-08,3.02
2017-05-09,3.04
2017-05-10,3.03
2017-05-11,3.03
2017-05-12,2.98
2017-05-15,3.00
2017-05-16,2.99
2017-05-17,2.91
2017-05-18,2.90
2017-05-19,2.90
2017-05-22,2.91
2017-05-23,2.95
2017-05-24,2.92
2017-05-25,2.92
2017-05-26,2.92
2017-05-29,.
2017-05-30,2.88
2017-05-31,2.87
2017-06-01,2.87
2017-06-02,2.80
2017-06-05,2.84
2017-06-06,2.81
2017-06-07,2.84
2017-06-08,2.85
2017-06-09,2.86
2017-06-12,2.86
2017-06-13,2.87
2017-06-14,2.79
2017-06-15,2.78
2017-06-16,2.78
2017-06-19,2.79
2017-06-20,2.74
2017-06-21,2.73
2017-06-22,2.72
2017-06-23,2.71
2017-06-26,2.70
2017-06-27,2.75
2017-06-28,2.77
2017-06-29,2.82
2017-06-30,2.84
2017-07-03,2.86
2017-07-04,.
2017-07-05,2.85
2017-07-06,2.90
2017-07-07,2.93
2017-07-10,2.93
2017-07-11,2.92
2017-07-12,2.89
2017-07-13,2.92
2017-07-14,2.91
2017-07-17,2.89
2017-07-18,2.85
2017-07-19,2.85
2017-07-20,2.83
2017-07-21,2.81
2017-07-24,2.83
2017-07-25,2.91
2017-07-26,2.89
2017-07-27,2.93
2017-07-28,2.89
2017-07-31,2.89
2017-08-01,2.86
2017-08-02,2.85
2017-08-03,2.81
2017-08-04,2.84
2017-08-07,2.84
2017-08-08,2.86
2017-08-09,2.82
2017-08-10,2.79
2017-08-11,2.79
2017-08-14,2.81
2017-08-15,2.84
2017-08-16,2.81
2017-08-17,2.78
2017-08-18,2.78
2017-08-21,2.77
2017-08-22,2.79
2017-08-23,2.75
2017-08-24,2.77
2017-08-25,2.75
2017-08-28,2.76
2017-08-29,2.74
2017-08-30,2.75
2017-08-31,2.73
2017-09-01,2.77
2017-09-04,.
2017-09-05,2.69
2017-09-06,2.72
2017-09-07,2.66
2017-09-08,2.67
2017-09-11,2.75
2017-09-12,2.78
2017-09-13,2.79
2017-09-14,2.77
2017-09-15,2.77
2017-09-18,2.80
2017-09-19,2.81
2017-09-20,2.82
2017-09-21,2.80
2017-09-22,2.80
2017-09-25,2.76
2017-09-26,2.78
2017-09-27,2.86
2017-09-28,2.87
2017-09-29,2.86
2017-10-02,2.87
2017-10-03,2.87
2017-10-04,2.87
2017-10-05,2.89
2017-10-06,2.91
2017-10-09,.
2017-10-10,2.88
2017-10-11,2.88
2017-10-12,2.86
2017-10-13,2.81
2017-10-16,2.82
2017-10-17,2.80
2017-10-18,2.85
2017-10-19,2.83
2017-10-20,2.89
2017-10-23,2.89
2017-10-24,2.92
2017-10-25,2.95
2017-10-26,2.96
2017-10-27,2.93
2017-10-30,2.88
2017-10-31,2.88
2017-11-01,2.85
2017-11-02,2.83
2017-11-03,2.82
2017-11-06,2.80
2017-11-07,2.77
2017-11-08,2.79
2017-11-09,2.81
2017-11-10,2.88
2017-11-13,2.87
2017-11-14,2.84
2017-11-15,2.77
2017-11-16,2.81
2017-11-17,2.78
2017-11-20,2.78
2017-11-21,2.76
2017-11-22,2.75
2017-11-23,.
2017-11-24,2.76
2017-11-27,2.76
2017-11-28,2.77
2017-11-29,2.81
2017-11-30,2.83
2017-12-01,2.76
2017-12-04,2.77
2017-12-05,2.73
2017-12-06,2.71
2017-12-07,2.76
2017-12-08,2.77
2017-12-11,2.77
2017-12-12,2.79
2017-12-13,2.74
2017-12-14,2.71
2017-12-15,2.68
2017-12-18,2.74
2017-12-19,2.82
2017-12-20,2.88
2017-12-21,2.84
2017-12-22,2.83
2017-12-25,.
2017-12-26,2.82
2017-12-27,2.75
2017-12-28,2.75
2017-12-29,2.74
2018-01-01,.
2018-01-02,2.81
2018-01-03,2.78
2018-01-04,2.79
2018-01-05,2.81
2018-01-08,2.81
2018-01-09,2.88
2018-01-10,2.88
2018-01-11,2.91
2018-01-12,2.85
2018-01-15,.
2018-01-16,2.83
2018-01-17,2.84
2018-01-18,2.90
2018-01-19,2.91
2018-01-22,2.93
2018-01-23,2.90
2018-01-24,2.93
2018-01-25,2.89
2018-01-26,2.91
2018-01-29,2.94
2018-01-30,2.98
