DATE,WSHONBNL
2008-04-16,435051
2008-04-23,435051
2008-04-30,434317
2008-05-07,426818
2008-05-14,421816
2008-05-21,417391
2008-05-28,412392
2008-06-04,412392
2008-06-11,412392
2008-06-18,412392
2008-06-25,412392
2008-07-02,412392
2008-07-09,412392
2008-07-16,412392
2008-07-23,412392
2008-07-30,412392
2008-08-06,411731
2008-08-13,411731
2008-08-20,411731
2008-08-27,411731
2008-09-03,411731
2008-09-10,411731
2008-09-17,411731
2008-09-24,411731
2008-10-01,411731
2008-10-08,411731
2008-10-15,410757
2008-10-22,410757
2008-10-29,410757
2008-11-05,410491
2008-11-12,410491
2008-11-19,410491
2008-11-26,410491
2008-12-03,410491
2008-12-10,410491
2008-12-17,410491
2008-12-24,410491
2008-12-31,410491
2009-01-07,410491
2009-01-14,410491
2009-01-21,412914
2009-01-28,412914
2009-02-04,412914
2009-02-11,412914
2009-02-18,412914
2009-02-25,412914
2009-03-04,412914
2009-03-11,412914
2009-03-18,412914
2009-03-25,412914
2009-04-01,430454
2009-04-08,446488
2009-04-15,464032
2009-04-22,471032
2009-04-29,485057
2009-05-06,496305
2009-05-13,512770
2009-05-20,518925
2009-05-27,534022
2009-06-03,540022
2009-06-10,562516
2009-06-17,572466
2009-06-24,586963
2009-07-01,597212
2009-07-08,607211
2009-07-15,617575
2009-07-22,624575
2009-07-29,627575
2009-08-05,636919
2009-08-12,660465
2009-08-19,667481
2009-08-26,676176
2009-09-02,684075
2009-09-09,689025
2009-09-16,691074
2009-09-23,696923
2009-09-30,700468
2009-10-07,700468
2009-10-14,704717
2009-10-21,704663
2009-10-28,705713
2009-11-04,707649
2009-11-11,707649
2009-11-18,707649
2009-11-25,707649
2009-12-02,707649
2009-12-09,707649
2009-12-16,707649
2009-12-23,707649
2009-12-30,707649
2010-01-06,707649
2010-01-13,707649
2010-01-20,708872
2010-01-27,708872
2010-02-03,708872
2010-02-10,708872
2010-02-17,708872
2010-02-24,708872
2010-03-03,708872
2010-03-10,708872
2010-03-17,708872
2010-03-24,708872
2010-03-31,708872
2010-04-07,708872
2010-04-14,708872
2010-04-21,712258
2010-04-28,712258
2010-05-05,712023
2010-05-12,712023
2010-05-19,712023
2010-05-26,712023
2010-06-02,712023
2010-06-09,712023
2010-06-16,712023
2010-06-23,712023
2010-06-30,712023
2010-07-07,712023
2010-07-14,712023
2010-07-21,712020
2010-07-28,712020
2010-08-04,712020
2010-08-11,712020
2010-08-18,714571
2010-08-25,719530
2010-09-01,720773
2010-09-08,724381
2010-09-15,729023
2010-09-22,739482
2010-09-29,745442
2010-10-06,752832
2010-10-13,754901
2010-10-20,765851
2010-10-27,770841
2010-11-03,774990
2010-11-10,786015
2010-11-17,806318
2010-11-24,832126
2010-12-01,848332
2010-12-08,880479
2010-12-15,896578
2010-12-22,934527
2010-12-29,943377
2011-01-05,956554
2011-01-12,987625
2011-01-19,1004739
2011-01-26,1039604
2011-02-02,1061215
2011-02-09,1090111
2011-02-16,1111685
2011-02-23,1134743
2011-03-02,1157044
2011-03-09,1185240
2011-03-16,1199490
2011-03-23,1222689
2011-03-30,1249224
2011-04-06,1273415
2011-04-13,1289826
2011-04-20,1320801
2011-04-27,1330040
2011-05-04,1358315
2011-05-11,1380842
2011-05-18,1407998
2011-05-25,1432009
2011-06-01,1443828
2011-06-08,1464534
2011-06-15,1485706
2011-06-22,1509372
2011-06-29,1524358
2011-07-06,1531497
2011-07-13,1537317
2011-07-20,1540917
2011-07-27,1544906
2011-08-03,1547626
2011-08-10,1550943
2011-08-17,1553852
2011-08-24,1554672
2011-08-31,1557455
2011-09-07,1560925
2011-09-14,1564270
2011-09-21,1568399
2011-09-28,1569329
2011-10-05,1576077
2011-10-12,1571429
2011-10-19,1574540
2011-10-26,1582247
2011-11-02,1558113
2011-11-09,1570445
2011-11-16,1579718
2011-11-23,1568646
2011-11-30,1575363
2011-12-07,1578395
2011-12-14,1576894
2011-12-21,1587705
2011-12-28,1575584
2012-01-04,1566954
2012-01-11,1554407
2012-01-18,1555200
2012-01-25,1565237
2012-02-01,1565905
2012-02-08,1565806
2012-02-15,1570729
2012-02-22,1560286
2012-02-29,1565224
2012-03-07,1564429
2012-03-14,1564842
2012-03-21,1567314
2012-03-28,1568664
2012-04-04,1571487
2012-04-11,1584710
2012-04-18,1577378
2012-04-25,1572925
2012-05-02,1572264
2012-05-09,1572022
2012-05-16,1561325
2012-05-23,1561224
2012-05-30,1560943
2012-06-06,1568495
2012-06-13,1565618
2012-06-20,1567459
2012-06-27,1570357
2012-07-04,1570190
2012-07-11,1568781
2012-07-18,1561338
2012-07-25,1566515
2012-08-01,1570336
2012-08-08,1573484
2012-08-15,1565907
2012-08-22,1556726
2012-08-29,1559014
2012-09-05,1568492
2012-09-12,1569040
2012-09-19,1564318
2012-09-26,1566654
2012-10-03,1571169
2012-10-10,1571859
2012-10-17,1575696
2012-10-24,1564312
2012-10-31,1563019
2012-11-07,1568888
2012-11-14,1572814
2012-11-21,1566370
2012-11-28,1562452
2012-12-05,1569379
2012-12-12,1575114
2012-12-19,1573166
2012-12-26,1571252
2013-01-02,1580472
2013-01-09,1590752
2013-01-16,1603423
2013-01-23,1609819
2013-01-30,1623279
2013-02-06,1630467
2013-02-13,1640398
2013-02-20,1648436
2013-02-27,1661584
2013-03-06,1673761
2013-03-13,1680366
2013-03-20,1694972
2013-03-27,1704719
2013-04-03,1715791
2013-04-10,1722664
2013-04-17,1733049
2013-04-24,1744060
2013-05-01,1755658
2013-05-08,1761954
2013-05-15,1770349
2013-05-22,1782939
2013-05-29,1789288
2013-06-05,1803740
2013-06-12,1810417
2013-06-19,1823067
2013-06-26,1832800
2013-07-03,1847054
2013-07-10,1856872
2013-07-17,1864405
2013-07-24,1872698
2013-07-31,1885063
2013-08-07,1895978
2013-08-14,1902201
2013-08-21,1913222
2013-08-28,1924609
2013-09-04,1934262
2013-09-11,1940567
2013-09-18,1951525
2013-09-25,1961465
2013-10-02,1976374
2013-10-09,1986161
2013-10-16,1992923
2013-10-23,2004336
2013-10-30,2015584
2013-11-06,2023358
2013-11-13,2034815
2013-11-20,2047265
2013-11-27,2059942
2013-12-04,2066090
2013-12-11,2080640
2013-12-18,2092274
2013-12-25,2103872
2014-01-01,2103871
2014-01-08,2108075
2014-01-15,2114894
2014-01-22,2125420
2014-01-29,2137215
2014-02-05,2147028
2014-02-12,2154170
2014-02-19,2160945
2014-02-26,2171331
2014-03-05,2181439
2014-03-12,2188835
2014-03-19,2197425
2014-03-26,2203078
2014-04-02,2212100
2014-04-09,2216485
2014-04-16,2226297
2014-04-23,2231979
2014-04-30,2240389
2014-05-07,2244873
2014-05-14,2250372
2014-05-21,2256119
2014-05-28,2259446
2014-06-04,2266790
2014-06-11,2274320
2014-06-18,2279078
2014-06-25,2284487
2014-07-02,2292004
2014-07-09,2295845
2014-07-16,2296978
2014-07-23,2300166
2014-07-30,2306746
2014-08-06,2308968
2014-08-13,2314001
2014-08-20,2317170
2014-08-27,2321659
2014-09-03,2322690
2014-09-10,2326351
2014-09-17,2331803
2014-09-24,2333867
2014-10-01,2336994
2014-10-08,2339461
2014-10-15,2340392
2014-10-22,2344287
2014-10-29,2346714
2014-11-05,2346713
2014-11-12,2346713
2014-11-19,2346713
2014-11-26,2346713
2014-12-03,2346713
2014-12-10,2346713
2014-12-17,2346712
2014-12-24,2346712
2014-12-31,2346712
2015-01-07,2346712
2015-01-14,2346712
2015-01-21,2346712
2015-01-28,2346712
2015-02-04,2346711
2015-02-11,2346711
2015-02-18,2346711
2015-02-25,2346711
2015-03-04,2346711
2015-03-11,2346711
2015-03-18,2346710
2015-03-25,2346710
2015-04-01,2346709
2015-04-08,2346709
2015-04-15,2346709
2015-04-22,2346709
2015-04-29,2346709
2015-05-06,2346643
2015-05-13,2346643
2015-05-20,2346643
2015-05-27,2346643
2015-06-03,2346643
2015-06-10,2346643
2015-06-17,2346642
2015-06-24,2346642
2015-07-01,2346641
2015-07-08,2346641
2015-07-15,2346641
2015-07-22,2346641
2015-07-29,2346641
2015-08-05,2346641
2015-08-12,2346641
2015-08-19,2346641
2015-08-26,2346641
2015-09-02,2346640
2015-09-09,2346640
2015-09-16,2346640
2015-09-23,2346640
2015-09-30,2346639
2015-10-07,2346639
2015-10-14,2346639
2015-10-21,2346639
2015-10-28,2346639
2015-11-04,2346639
2015-11-11,2346639
2015-11-18,2346639
2015-11-25,2346639
2015-12-02,2346639
2015-12-09,2346639
2015-12-16,2346639
2015-12-23,2346639
2015-12-30,2346639
2016-01-06,2346639
2016-01-13,2346639
2016-01-20,2346639
2016-01-27,2346639
2016-02-03,2346639
2016-02-10,2346639
2016-02-17,2346639
2016-02-24,2346865
2016-03-02,2344518
2016-03-09,2344518
2016-03-16,2344518
2016-03-23,2344518
2016-03-30,2344518
2016-04-06,2341898
2016-04-13,2341898
2016-04-20,2342292
2016-04-27,2342292
2016-05-04,2342292
2016-05-11,2342292
2016-05-18,2342292
2016-05-25,2342092
2016-06-01,2339286
2016-06-08,2339286
2016-06-15,2339286
2016-06-22,2339286
2016-06-29,2339286
2016-07-06,2338557
2016-07-13,2338557
2016-07-20,2342204
2016-07-27,2342204
2016-08-03,2342204
2016-08-10,2342204
2016-08-17,2342604
2016-08-24,2342604
2016-08-31,2341647
2016-09-07,2341647
2016-09-14,2341647
2016-09-21,2341647
2016-09-28,2341647
2016-10-05,2340976
2016-10-12,2340976
2016-10-19,2340976
2016-10-26,2340976
2016-11-02,2340674
2016-11-09,2340674
2016-11-16,2340674
2016-11-23,2340674
2016-11-30,2339503
2016-12-07,2339103
2016-12-14,2339103
2016-12-21,2339103
2016-12-28,2339103
2017-01-04,2339103
2017-01-11,2339103
2017-01-18,2342206
2017-01-25,2342206
2017-02-01,2341382
2017-02-08,2341382
2017-02-15,2341382
2017-02-22,2341382
2017-03-01,2340411
2017-03-08,2340411
2017-03-15,2340411
2017-03-22,2340411
2017-03-29,2340611
2017-04-05,2339280
2017-04-12,2339280
2017-04-19,2339740
2017-04-26,2339740
2017-05-03,2339740
2017-05-10,2339740
2017-05-17,2339540
2017-05-24,2339540
2017-05-31,2338216
2017-06-07,2338216
2017-06-14,2338216
2017-06-21,2338216
2017-06-28,2338216
2017-07-05,2337609
2017-07-12,2337609
2017-07-19,2338887
2017-07-26,2338887
2017-08-02,2337565
2017-08-09,2337565
2017-08-16,2337565
2017-08-23,2337565
2017-08-30,2337565
2017-09-06,2337126
2017-09-13,2337326
2017-09-20,2337326
2017-09-27,2337326
2017-10-04,2337326
2017-10-11,2337326
2017-10-18,2337326
2017-10-25,2337326
2017-11-01,2331201
2017-11-08,2331201
2017-11-15,2327698
2017-11-22,2327698
2017-11-29,2327698
2017-12-06,2324604
2017-12-13,2324404
2017-12-20,2324404
2017-12-27,2324404
2018-01-03,2318404
2018-01-10,2318404
2018-01-17,2320301
2018-01-24,2320301
2018-01-31,2307591
2018-02-07,2307591
2018-02-14,2307591
2018-02-21,2303503
2018-02-28,2293885
2018-03-07,2293885
2018-03-14,2293885
2018-03-21,2293885
2018-03-28,2293885
2018-04-04,2281885
2018-04-11,2281885
2018-04-18,2281995
2018-04-25,2281995
2018-05-02,2262072
2018-05-09,2262072
2018-05-16,2253442
2018-05-23,2253442
2018-05-30,2253442
2018-06-06,2242161
2018-06-13,2242161
2018-06-20,2242161
2018-06-27,2242161.0
2018-07-04,2224161.0
2018-07-11,2224161.0
2018-07-18,2224429.0
2018-07-25,2224429.0
2018-08-01,2200589.0
2018-08-08,2200589.0
2018-08-15,2188006.0
2018-08-22,2188006.0
2018-08-29,2188006.0
2018-09-05,2175602.0
2018-09-12,2175602.0
2018-09-19,2175602.0
2018-09-26,2175602.0
2018-10-03,2156595.0
2018-10-10,2156595.0
2018-10-17,2156595.0
2018-10-24,2156595.0
2018-10-31,2132762.0
2018-11-07,2132762.0
2018-11-14,2132762.0
2018-11-21,2115384.0
2018-11-28,2115384.0
2018-12-05,2101796.0
2018-12-12,2101796.0
2018-12-19,2101796.0
2018-12-26,2101796.0
2019-01-02,2083586.0
2019-01-09,2083586.0
2019-01-16,2083586.0
2019-01-23,2083586.0
2019-01-30,2083586.0
2019-02-06,2069396.0
2019-02-13,2069396.0
2019-02-20,2046102.0
2019-02-27,2046102.0
2019-03-06,2039011.0
2019-03-13,2039011.0
2019-03-20,2039011.0
2019-03-27,2039011.0
2019-04-03,2016632.0
2019-04-10,2016632.0
2019-04-17,2016474.0
2019-04-24,2016474.0
2019-05-01,1986425.0
2019-05-08,1986425.0
2019-05-15,1976565.0
2019-05-22,1976565.0
2019-05-29,1976565.0
2019-06-05,1970270.0
2019-06-12,1970270.0
2019-06-19,1970270.0
2019-06-26,1970270.0
2019-07-03,1955270.0
2019-07-10,1955270.0
2019-07-17,1954371.0
2019-07-24,1954371.0
2019-07-31,1940396.0
2019-08-07,1940396.0
2019-08-14,1940396.0
2019-08-21,1945599.0
2019-08-28,1951802.0
2019-09-04,1951802.0
2019-09-11,1955803.0
2019-09-18,1957404.0
2019-09-25,1959205.0
2019-10-02,1967364.0
2019-10-09,1969966.0
2019-10-16,1971567.0
2019-10-23,1975169.0
2019-10-30,1978971.0
2019-11-06,1980995.0
2019-11-13,1983196.0
2019-11-20,1986999.0
2019-11-27,1992602.0
