DATE,WGASUSGULF
1986-06-06,0.416
1986-06-13,0.414
1986-06-20,0.412
1986-06-27,0.399
1986-07-04,0.376
1986-07-11,0.342
1986-07-18,0.332
1986-07-25,0.322
1986-08-01,0.312
1986-08-08,0.390
1986-08-15,0.427
1986-08-22,0.437
1986-08-29,0.431
1986-09-05,0.441
1986-09-12,0.410
1986-09-19,0.379
1986-09-26,0.376
1986-10-03,0.395
1986-10-10,0.403
1986-10-17,0.397
1986-10-24,0.405
1986-10-31,0.393
1986-11-07,0.405
1986-11-14,0.414
1986-11-21,0.413
1986-11-28,0.405
1986-12-05,0.404
1986-12-12,0.400
1986-12-19,0.408
1986-12-26,0.425
1987-01-02,0.459
1987-01-09,0.481
1987-01-16,0.500
1987-01-23,0.496
1987-01-30,0.495
1987-02-06,0.501
1987-02-13,0.492
1987-02-20,0.471
1987-02-27,0.459
1987-03-06,0.487
1987-03-13,0.508
1987-03-20,0.510
1987-03-27,0.516
1987-04-03,0.515
1987-04-10,0.505
1987-04-17,0.494
1987-04-24,0.501
1987-05-01,0.511
1987-05-08,0.519
1987-05-15,0.533
1987-05-22,0.534
1987-05-29,0.531
1987-06-05,0.532
1987-06-12,0.542
1987-06-19,0.537
1987-06-26,0.527
1987-07-03,0.539
1987-07-10,0.545
1987-07-17,0.553
1987-07-24,0.558
1987-07-31,0.558
1987-08-07,0.554
1987-08-14,0.547
1987-08-21,0.520
1987-08-28,0.505
1987-09-04,0.500
1987-09-11,0.495
1987-09-18,0.497
1987-09-25,0.495
1987-10-02,0.496
1987-10-09,0.499
1987-10-16,0.511
1987-10-23,0.521
1987-10-30,0.514
1987-11-06,0.507
1987-11-13,0.509
1987-11-20,0.487
1987-11-27,0.485
1987-12-04,0.470
1987-12-11,0.451
1987-12-18,0.411
1987-12-25,0.415
1988-01-01,0.418
1988-01-08,0.439
1988-01-15,0.422
1988-01-22,0.433
1988-01-29,0.438
1988-02-05,0.458
1988-02-12,0.453
1988-02-19,0.450
1988-02-26,0.447
1988-03-04,0.434
1988-03-11,0.437
1988-03-18,0.451
1988-03-25,0.475
1988-04-01,0.488
1988-04-08,0.484
1988-04-15,0.521
1988-04-22,0.523
1988-04-29,0.518
1988-05-06,0.500
1988-05-13,0.518
1988-05-20,0.514
1988-05-27,0.505
1988-06-03,0.506
1988-06-10,0.486
1988-06-17,0.491
1988-06-24,0.499
1988-07-01,0.516
1988-07-08,0.548
1988-07-15,0.585
1988-07-22,0.564
1988-07-29,0.539
1988-08-05,0.495
1988-08-12,0.483
1988-08-19,0.490
1988-08-26,0.473
1988-09-02,0.457
1988-09-09,0.437
1988-09-16,0.478
1988-09-23,0.477
1988-09-30,0.489
1988-10-07,0.439
1988-10-14,0.458
1988-10-21,0.518
1988-10-28,0.575
1988-11-04,0.497
1988-11-11,0.500
1988-11-18,0.485
1988-11-25,0.439
1988-12-02,0.446
1988-12-09,0.434
1988-12-16,0.427
1988-12-23,0.436
1988-12-30,0.451
1989-01-06,0.462
1989-01-13,0.487
1989-01-20,0.514
1989-01-27,0.502
1989-02-03,0.491
1989-02-10,0.484
1989-02-17,0.485
1989-02-24,0.487
1989-03-03,0.507
1989-03-10,0.508
1989-03-17,0.536
1989-03-24,0.549
1989-03-31,0.618
1989-04-07,0.663
1989-04-14,0.664
1989-04-21,0.700
1989-04-28,0.720
1989-05-05,0.709
1989-05-12,0.670
1989-05-19,0.653
1989-05-26,0.667
1989-06-02,0.666
1989-06-09,0.647
1989-06-16,0.599
1989-06-23,0.587
1989-06-30,0.589
1989-07-07,0.554
1989-07-14,0.552
1989-07-21,0.530
1989-07-28,0.497
1989-08-04,0.500
1989-08-11,0.491
1989-08-18,0.504
1989-08-25,0.520
1989-09-01,0.533
1989-09-08,0.572
1989-09-15,0.577
1989-09-22,0.592
1989-09-29,0.579
1989-10-06,0.548
1989-10-13,0.540
1989-10-20,0.532
1989-10-27,0.526
1989-11-03,0.520
1989-11-10,0.517
1989-11-17,0.507
1989-11-24,0.495
1989-12-01,0.489
1989-12-08,0.505
1989-12-15,0.495
1989-12-22,0.532
1989-12-29,0.627
1990-01-05,0.689
1990-01-12,0.655
1990-01-19,0.625
1990-01-26,0.606
1990-02-02,0.617
1990-02-09,0.592
1990-02-16,0.575
1990-02-23,0.571
1990-03-02,0.563
1990-03-09,0.562
1990-03-16,0.551
1990-03-23,0.590
1990-03-30,0.621
1990-04-06,0.636
1990-04-13,0.589
1990-04-20,0.608
1990-04-27,0.630
1990-05-04,0.636
1990-05-11,0.684
1990-05-18,0.663
1990-05-25,0.665
1990-06-01,0.681
1990-06-08,0.629
1990-06-15,0.606
1990-06-22,0.612
1990-06-29,0.594
1990-07-06,0.571
1990-07-13,0.596
1990-07-20,0.613
1990-07-27,0.617
1990-08-03,0.653
1990-08-10,0.818
1990-08-17,0.871
1990-08-24,1.009
1990-08-31,0.880
1990-09-07,0.965
1990-09-14,0.946
1990-09-21,0.907
1990-09-28,0.984
1990-10-05,0.897
1990-10-12,0.948
1990-10-19,0.925
1990-10-26,0.827
1990-11-02,0.900
1990-11-09,0.897
1990-11-16,0.797
1990-11-23,0.784
1990-11-30,0.797
1990-12-07,0.668
1990-12-14,0.629
1990-12-21,0.634
1990-12-28,0.659
1991-01-04,0.652
1991-01-11,0.712
1991-01-18,0.721
1991-01-25,0.629
1991-02-01,0.616
1991-02-08,0.609
1991-02-15,0.606
1991-02-22,0.585
1991-03-01,0.632
1991-03-08,0.686
1991-03-15,0.675
1991-03-22,0.677
1991-03-29,0.664
1991-04-05,0.651
1991-04-12,0.710
1991-04-19,0.740
1991-04-26,0.724
1991-05-03,0.707
1991-05-10,0.721
1991-05-17,0.691
1991-05-24,0.674
1991-05-31,0.670
1991-06-07,0.638
1991-06-14,0.615
1991-06-21,0.602
1991-06-28,0.604
1991-07-05,0.619
1991-07-12,0.629
1991-07-19,0.630
1991-07-26,0.649
1991-08-02,0.658
1991-08-09,0.686
1991-08-16,0.683
1991-08-23,0.676
1991-08-30,0.641
1991-09-06,0.614
1991-09-13,0.597
1991-09-20,0.594
1991-09-27,0.595
1991-10-04,0.602
1991-10-11,0.608
1991-10-18,0.623
1991-10-25,0.630
1991-11-01,0.629
1991-11-08,0.651
1991-11-15,0.613
1991-11-22,0.611
1991-11-29,0.589
1991-12-06,0.548
1991-12-13,0.509
1991-12-20,0.510
1991-12-27,0.503
1992-01-03,0.515
1992-01-10,0.490
1992-01-17,0.508
1992-01-24,0.504
1992-01-31,0.523
1992-02-07,0.557
1992-02-14,0.541
1992-02-21,0.519
1992-02-28,0.526
1992-03-06,0.532
1992-03-13,0.553
1992-03-20,0.562
1992-03-27,0.551
1992-04-03,0.599
1992-04-10,0.604
1992-04-17,0.581
1992-04-24,0.611
1992-05-01,0.627
1992-05-08,0.645
1992-05-15,0.627
1992-05-22,0.617
1992-05-29,0.647
1992-06-05,0.655
1992-06-12,0.653
1992-06-19,0.639
1992-06-26,0.630
1992-07-03,0.602
1992-07-10,0.575
1992-07-17,0.580
1992-07-24,0.592
1992-07-31,0.593
1992-08-07,0.580
1992-08-14,0.593
1992-08-21,0.603
1992-08-28,0.616
1992-09-04,0.618
1992-09-11,0.598
1992-09-18,0.593
1992-09-25,0.575
1992-10-02,0.573
1992-10-09,0.591
1992-10-16,0.598
1992-10-23,0.599
1992-10-30,0.601
1992-11-06,0.580
1992-11-13,0.534
1992-11-20,0.533
1992-11-27,0.517
1992-12-04,0.494
1992-12-11,0.488
1992-12-18,0.514
1992-12-25,0.527
1993-01-01,0.523
1993-01-08,0.516
1993-01-15,0.501
1993-01-22,0.508
1993-01-29,0.531
1993-02-05,0.527
1993-02-12,0.509
1993-02-19,0.489
1993-02-26,0.509
1993-03-05,0.556
1993-03-12,0.554
1993-03-19,0.557
1993-03-26,0.556
1993-04-02,0.588
1993-04-09,0.593
1993-04-16,0.597
1993-04-23,0.600
1993-04-30,0.605
1993-05-07,0.621
1993-05-14,0.606
1993-05-21,0.593
1993-05-28,0.585
1993-06-04,0.570
1993-06-11,0.545
1993-06-18,0.540
1993-06-25,0.541
1993-07-02,0.535
1993-07-09,0.511
1993-07-16,0.504
1993-07-23,0.499
1993-07-30,0.500
1993-08-06,0.501
1993-08-13,0.540
1993-08-20,0.529
1993-08-27,0.513
1993-09-03,0.502
1993-09-10,0.474
1993-09-17,0.469
1993-09-24,0.481
1993-10-01,0.489
1993-10-08,0.487
1993-10-15,0.502
1993-10-22,0.482
1993-10-29,0.457
1993-11-05,0.450
1993-11-12,0.425
1993-11-19,0.428
1993-11-26,0.415
1993-12-03,0.378
1993-12-10,0.354
1993-12-17,0.357
1993-12-24,0.363
1993-12-31,0.365
1994-01-07,0.407
1994-01-14,0.418
1994-01-21,0.409
1994-01-28,0.438
1994-02-04,0.459
1994-02-11,0.446
1994-02-18,0.419
1994-02-25,0.431
1994-03-04,0.438
1994-03-11,0.439
1994-03-18,0.465
1994-03-25,0.475
1994-04-01,0.462
1994-04-08,0.507
1994-04-15,0.492
1994-04-22,0.483
1994-04-29,0.493
1994-05-06,0.481
1994-05-13,0.486
1994-05-20,0.496
1994-05-27,0.504
1994-06-03,0.532
1994-06-10,0.513
1994-06-17,0.527
1994-06-24,0.537
1994-07-01,0.531
1994-07-08,0.522
1994-07-15,0.539
1994-07-22,0.543
1994-07-29,0.569
1994-08-05,0.596
1994-08-12,0.578
1994-08-19,0.553
1994-08-26,0.486
1994-09-02,0.481
1994-09-09,0.465
1994-09-16,0.428
1994-09-23,0.437
1994-09-30,0.442
1994-10-07,0.460
1994-10-14,0.470
1994-10-21,0.489
1994-10-28,0.544
1994-11-04,0.504
1994-11-11,0.477
1994-11-18,0.457
1994-11-25,0.433
1994-12-02,0.428
1994-12-09,0.418
1994-12-16,0.430
1994-12-23,0.431
1994-12-30,0.464
1995-01-06,0.461
1995-01-13,0.467
1995-01-20,0.496
1995-01-27,0.476
1995-02-03,0.487
1995-02-10,0.475
1995-02-17,0.483
1995-02-24,0.505
1995-03-03,0.488
